"ID","IV","DV"
1,3.97697342932224,7.05732100950334
2,4.45871964748949,7.31225828141971
3,3.07084307726473,7.01346183466142
4,4.66963251587003,7.46191826474371
5,2.04706876538694,7.20846532196845
6,1.95903543941677,7.01123933498305
7,2.43901952449232,7.02164067121089
8,4.20918653532863,7.3679879825887
9,1.02545187994838,6.80772522172712
10,2.39711990673095,7.12975903130466
11,4.23415789287537,7.29420991888815
12,4.94855829514563,7.31204014832464
13,4.19280560314655,7.16888255489635
14,1.00661774910986,6.82666172937285
15,3.48236506432295,7.22511439959425
16,4.73631736170501,7.44420341392047
17,2.23075970448554,6.68323449471362
18,1.98897537402809,6.82409541784189
19,1.97333887219429,6.87320162963377
20,1.60980652738363,6.5706072188632
21,4.22522163763642,7.0947902563395
22,4.45997297298163,7.65074415849255
23,4.10428705625236,7.08539698869027
24,2.74203946068883,7.12625596005876
25,3.18168357200921,6.97338729779931
26,2.20482180919498,6.9030741441703
27,4.10316379088908,7.38826067357378
28,3.66106801386923,7.00496151669782
29,3.14897778723389,6.90423175063072
30,1.84395104739815,7.00311038536267
31,1.07690141350031,6.80406798370972
32,3.58336696960032,7.05946840834488
33,1.92833597864956,6.66982084537763
34,3.56379169877619,7.22123030979064
35,1.15980537515134,7.3123141467866
36,2.01040947902948,7.21219227305905
37,1.8591344775632,6.77060628228448
38,4.29585170652717,7.47651577978901
39,2.17555916681886,6.59311934714211
40,3.23266739211977,6.59812573076307
41,4.25320319738239,7.57592473068983
42,2.43905179388821,6.98343121930003
43,1.13019748684019,6.75565872954807
44,3.77967765834183,7.43119143294219
45,4.35368246119469,7.20239627061116
46,2.64980899728835,6.40899691995755
47,4.47591992653906,7.35353030538772
48,2.12546715419739,6.91006115945698
49,1.72214031871408,6.68994848314915
50,3.3318245401606,7.12905044089227
51,1.51940422598273,6.9859012337511
52,1.77107652276754,6.90458677714815
53,1.35536543466151,6.61427613340856
54,3.16275155823678,6.85467135867063
55,3.93632921855897,7.13364062077379
56,2.75499882921576,7.09522122939778
57,4.68476173095405,7.24123232780346
58,4.27602092176676,7.20943571627402
59,3.4835130404681,7.34329097919678
60,3.84909459389746,6.92702468801669
61,2.66649539396167,7.01011974828863
62,3.32148119900376,7.35908366141882
63,3.12201148737222,7.0353396190516
64,3.1920018568635,6.98258901771689
65,3.81331112794578,7.14446086755197
66,4.68059829995036,7.17537709504094
67,4.07155542261899,7.31126564976886
68,3.0372665822506,6.77173855666913
69,3.69387640990317,7.09796405049888
70,3.32443648483604,7.31724593257322
71,4.85530250798911,7.42924179920859
72,4.50176247209311,7.17517998742501
73,1.82444765698165,6.65181131154977
74,3.339942779392,7.22094590831934
75,4.03020273521543,6.8951616653119
76,1.0733235348016,6.19852543405683
77,3.44563634321094,7.20456965248424
78,3.92588230408728,6.73378660289521
79,2.24304829631001,7.13603064887015
80,2.36367716360837,6.8735414967254
81,1.847561635077,6.81504109310986
82,4.41099941171706,7.09320987015756
83,1.30485985428095,6.51260359777658
84,1.51077534165233,6.72367345163473
85,1.72110143583268,6.71561155966729
86,2.63737352564931,7.28354997629498
87,2.71077256277204,6.97944899493909
88,4.66538371238858,7.33297346026222
89,4.4609144506976,7.4886821114744
90,4.76341313309968,7.3432834658456
91,2.50762357842177,6.92054450229187
92,4.64339853450656,7.11067433774835
93,2.883136020042,6.83421985162016
94,2.84975451137871,6.88087898692307
95,4.26960237789899,7.16450597069098
96,4.42406219895929,7.25345830361453
97,2.11823937203735,6.99145351280745
98,2.59182846359909,7.1936236529766
99,2.28323881328106,7.10061615542954
100,3.57564507424831,7.5554711602664
101,1.10295265167952,6.70499688195708
102,4.5572475483641,7.57765077364154
103,2.91840024292469,6.98823569013843
104,1.65364766865969,7.00611718095089
105,1.61666079983115,6.56372148905512
106,2.9093967070803,6.99250947492563
107,1.41359175276011,6.60135752683236
108,2.07843589317054,7.07003476379568
109,2.76105999294668,6.76658803404417
110,4.07824133709073,7.13147503650921
111,3.37901086360216,7.28456353228357
112,4.88084838818759,7.59188880710764
113,2.45547246653587,7.200711451211
114,4.27629950921983,7.06411287697014
115,2.47626521345228,7.24629873762021
116,1.3095203274861,6.75482772736846
117,1.66209798492491,6.71875621916289
118,4.37895419541746,7.50138478120172
119,4.55657461564988,7.34839281801324
120,3.08247236255556,6.9549695904419
121,3.13763468526304,7.05787579446899
122,3.43222424853593,7.08666569171421
123,4.61143616400659,7.51073644701986
124,2.44054191093892,7.02035250557264
125,4.76755318325013,7.4245850238006
126,2.7507525542751,7.01957183804384
127,2.02707127202302,7.25841694822679
128,1.6602374073118,6.79831741879526
129,4.19039426278323,7.08608224116357
130,4.58821413759142,7.42032453215936
131,2.349206244573,6.73393115519184
132,1.90388640295714,6.93880826277227
133,1.88072228431702,6.81054252129488
134,3.22129228897393,6.85441809224327
135,4.2959115523845,7.37343093512643
136,2.31249449960887,6.6261744479683
137,4.07474928535521,7.07955264912698
138,2.97760159522295,6.76631827737183
139,2.98815438803285,7.09376107341175
